"Note","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"Injured","101","Darnell Mooney","8.0","8.0","WR","ATL","5","13.07","132.0","140.0","150.0","192.0","155.4","16.7","$8","$11"
"","102","Colston Loveland","8.0","6.0","TE","CHI","5","8.12","92.0","103.0","115.0","177.1","124.0","16.6","$9","$11"
"","103","Zach Ertz","8.0","6.0","TE","WAS","12","18.03","92.4","113.0","120.0","146.4","120.8","15.2","$12","$10"
"","104","Kyle Pitts","8.0","6.0","TE","ATL","5","11.06","93.2","110.0","111.0","163.2","120.2","15.0","$11","$10"
"","105","J.K. Dobbins","8.0","8.0","RB","DEN","12","11.11","108.0","134.0","144.0","197.3","149.2","14.8","$8","$10"
"Injured","106","Isaiah Likely","8.0","6.0","TE","BAL","7","14.08","90.7","96.0","112.0","169.1","119.4","14.7","$20","$10"
"","107","Baker Mayfield","8.0","2.0","QB","TB","9","7.12","317.7","372.0","361.0","407.9","366.9","13.7","$11","$9"
"","108","Travis Etienne","8.0","8.0","RB","JAC","8","8.10","103.7","123.0","144.0","193.0","145.9","13.7","$5","$9"
"","109","Hunter Henry","8.0","6.0","TE","NE","14","18.05","96.6","105.0","111.0","147.6","116.3","13.4","$10","$9"
"","110","Cooper Kupp","8.0","8.0","WR","SEA","8","9.06","120.2","140.0","135.0","198.5","148.2","13.3","$9","$9"
"Injured","111","Chris Godwin","8.0","8.0","WR","TB","9","10.03","99.4","160.0","142.0","184.6","148.1","13.2","$8","$9"
"","112","Cameron Dicker","8.0","2.0","K","LAC","12","17.01","135.9","127.0","158.0","169.1","152.4","12.9","$4","$9"
"Sleeper","113","Chig Okonkwo","8.0","6.0","TE","TEN","10","21.03","88.9","103.0","114.0","141.4","114.8","12.7","$6","$9"
"","114","Bo Nix","8.0","2.0","QB","DEN","12","7.01","315.6","352.0","367.0","400.0","364.4","12.6","$8","$8"
"","115","Hollywood Brown","9.0","9.0","WR","KC","10","17.02","117.3","119.0","143.0","191.6","146.6","12.6","$6","$8"
"","116","Jonnu Smith","9.0","6.0","TE","PIT","5","14.01","88.8","99.0","107.0","155.2","114.1","12.4","$18","$8"
"Injured","117","Cade Otton","9.0","6.0","TE","TB","9","16.07","93.5","99.0","114.0","137.9","114.0","12.4","$12","$8"
