NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Tylan Wallace","WR","68","BAL","1",14,11,0.2,31,0.5,5.9,8.7
"John FitzPatrick","TE","67","ATL","5",12,10,0.2,8.2,0.5,1.8,2.7
"Ross Dwelley","TE","67","SF","3",12,12,0.2,34.5,0.5,6.3,10.1
"Chris Manhertz","TE","68","DEN","2",11,16,0.2,101.9,0.6,22.9,36.3
"Dee Eskridge","WR","73","SEA","1",6,4,0.1,36,4,4.5,7.9
"Jonathan Ward","RB","67","TEN","3",9,8,0.1,9.1,2.7,1.2,1.9
"Antoine Green","WR","67","DET","2",5,9,0.1,88.3,0.8,11.8,17
"Jakob Johnson","FB","67","LV","1",11,13,0.1,155,0.8,14.3,23.2
"Colton Dowell","WR","67","TEN","2",5,10,0.1,39.2,0.8,5.1,8.3
"Adam Prentice","FB","67","NO","1",12,13,0.1,89.3,2.9,9.6,14.6
"Kevin Rader","TE","67","TEN","3",12,14,0.1,91.2,0.6,10.4,16.7
"Reggie Gilliam","FB","77","BUF","1",12,17,0,330,3.3,5.8,8.5
